instance,algorithm,mean_distance,std_distance,mean_elapsed_ms,std_elapsed_ms,feasible_rate,normalized_gap_pct
data101.vrp,SA,1811.687447,35.200753,8462.253,494.950,1.000,0.000
data101.vrp,ACO,1966.887346,55.078342,24952.369,1390.861,0.000,8.567
data102.vrp,SA,1644.559434,13.536278,8748.420,817.380,1.000,0.000
data102.vrp,ACO,1802.943497,30.229527,24166.499,2244.945,0.000,9.631
data1101.vrp,SA,1816.523921,33.778981,8120.725,670.583,1.000,0.000
data1101.vrp,ACO,2118.140170,55.379661,20931.428,1100.339,0.000,16.604
data1102.vrp,SA,1666.757455,41.557032,7678.564,503.668,1.000,0.000
data1102.vrp,ACO,1990.870860,20.222437,19950.380,981.497,0.000,19.446
data111.vrp,SA,1246.360767,31.272723,7171.764,712.837,1.000,0.000
data111.vrp,ACO,1385.889603,23.700862,18317.642,746.178,0.000,11.195
data112.vrp,SA,1146.891341,29.437956,7511.322,69.058,1.000,1.732
data112.vrp,ACO,1127.364557,28.983195,16100.059,1664.688,0.000,0.000
data1201.vrp,SA,1440.151506,45.033252,5369.156,302.167,1.000,0.000
data1201.vrp,ACO,1801.585305,44.972661,15784.363,189.552,0.000,25.097
data1202.vrp,SA,1295.574203,68.344168,5078.181,73.418,1.000,0.000
data1202.vrp,ACO,1625.372865,36.762590,14970.040,136.192,0.000,25.456
data201.vrp,SA,1336.490693,33.830389,5092.401,68.018,1.000,0.000
data201.vrp,ACO,1571.205370,20.987412,18219.005,774.411,0.000,17.562
data202.vrp,SA,1213.679755,18.235349,5692.300,46.909,1.000,0.000
data202.vrp,ACO,1384.283502,35.913566,19910.978,1828.285,0.000,14.057
