alpha,mean_distance,std_distance,feasible_rate,mean_elapsed_ms,mean_iterations
0.900,2180.910484,100.182088,1.000,305.999,12150.0
0.920,2092.831940,77.178455,1.000,368.658,15450.0
0.940,2040.726693,66.268676,1.000,476.855,20700.0
0.960,1951.491214,45.449077,1.000,694.293,31350.0
0.980,1731.388503,44.755156,1.000,1332.968,63300.0
0.990,1681.344442,31.990158,1.000,2635.629,127200.0
0.992,1644.537242,47.707482,1.000,3243.968,159150.0
0.995,1601.434155,34.177515,1.000,5101.198,255000.0
0.997,1582.011473,23.546979,1.000,8441.437,425250.0
0.999,1541.030670,24.478055,1.000,24725.509,1276950.0
